group,variable,measure,unit,apt_factor_family,use,shock_kind,y1,y2,y3,y4,y5,run1_endY1,run2_endY2_peak,run3_endY3,run4_endY4,run5_endY5
UK macro,UK real GDP,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),-0.02,-0.02,0.007,0.007,0.007,-0.02,-0.0396,-0.032877,-0.026107,-0.01929
UK macro,UK nominal GDP,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),-0.015,-0.015,0.015,0.03,0.035,-0.015,-0.029775,-0.015222,0.014322,0.049823
UK macro,UK unemployment rate,Annual average level,%,n/a — macro,Engine 2 input,stressed LEVEL (subtract jump-off),0.052,0.064,0.075,0.072,0.069,0.058,0.064,0.075,0.072,0.069
UK macro,UK house prices,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.12,-0.11,0.02,0.07,-0.05,-0.164,-0.25596,-0.241079,-0.187955
UK macro,UK commercial real estate prices,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),-0.13,-0.21,-0.01,0.07,0.07,-0.13,-0.3127,-0.319573,-0.271943,-0.220979
UK macro,UK CPI,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),0.07,0.045,0.027,0.023,0.02,0.07,0.11815,0.14834,0.174752,0.198247
UK macro,Bank Rate,Annual average level,%,Policy rate (captured via SONIA/SOFR/Euribor o/n),Reference only,stressed LEVEL (subtract jump-off),0.06,0.07,0.06,0.05,0.04,0.065,0.07,0.06,0.05,0.04
US macro,US real GDP,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),-0.015,-0.015,0.007,0.007,0.007,-0.015,-0.029775,-0.022983,-0.016144,-0.009257
US macro,US unemployment rate,Annual average level,%,n/a — macro,Engine 2 input,stressed LEVEL (subtract jump-off),0.048,0.067,0.08,0.074,0.068,0.0575,0.067,0.08,0.074,0.068
US macro,US house prices,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),-0.04,-0.1,-0.11,0.01,0.1,-0.04,-0.136,-0.23104,-0.22335,-0.145685
US macro,US commercial real estate prices,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),-0.16,-0.25,-0.06,0.14,0.14,-0.16,-0.37,-0.4078,-0.324892,-0.230377
US macro,US PCE price index,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),0.052,0.038,0.027,0.023,0.02,0.052,0.091976,0.121459,0.147253,0.170198
US macro,US policy rate,Annual average level,%,Policy rate (captured via SONIA/SOFR/Euribor o/n),Reference only,stressed LEVEL (subtract jump-off),0.06,0.07,0.06,0.05,0.04,0.065,0.07,0.06,0.05,0.04
Euro area macro,Euro area real GDP,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),-0.015,-0.015,0.006,0.006,0.006,-0.015,-0.029775,-0.023954,-0.018097,-0.012206
Euro area macro,Euro area unemployment rate,Annual average level,%,n/a — macro,Engine 2 input,stressed LEVEL (subtract jump-off),0.069,0.086,0.1,0.095,0.091,0.0775,0.086,0.1,0.095,0.091
Euro area macro,Euro area house prices,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),-0.02,-0.08,-0.09,0.0,0.07,-0.02,-0.0984,-0.179544,-0.179544,-0.122112
Euro area macro,Euro area commercial real estate prices,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),-0.14,-0.23,-0.06,0.11,0.11,-0.14,-0.3378,-0.377532,-0.309061,-0.233057
Euro area macro,Euro area HICP,Annual change,%,n/a — macro,Engine 2 input,shock (cumulative change vs jump-off),0.06,0.042,0.027,0.023,0.02,0.06,0.10452,0.134342,0.160432,0.183641
Euro area macro,ECB policy rate,Annual average level,%,Policy rate (captured via SONIA/SOFR/Euribor o/n),Reference only,stressed LEVEL (subtract jump-off),0.04,0.05,0.04,0.03,0.02,0.045,0.05,0.04,0.03,0.02
Commodity prices,Brent crude oil price,Annual average level,US dollars per barrel,Commodity factor (Brent),APT factor,stressed LEVEL (subtract jump-off),125.0,155.0,140.0,125.0,110.0,140.0,155.0,140.0,125.0,110.0
Corporate bond spreads,Sterling IG corporate bond spread,Annual change,Basis points,Credit spread factor — GBP by rating,APT factor,shock (cumulative change vs jump-off),120.0,110.0,-50.0,-50.0,-50.0,120.0,230.0,180.0,130.0,80.0
Corporate bond spreads,Sterling AAA corporate bond spread,Annual change,Basis points,Credit spread factor — GBP by rating,APT factor,shock (cumulative change vs jump-off),50.0,40.0,-20.0,-20.0,-20.0,50.0,90.0,70.0,50.0,30.0
Corporate bond spreads,Sterling AA corporate bond spread,Annual change,Basis points,Credit spread factor — GBP by rating,APT factor,shock (cumulative change vs jump-off),100.0,70.0,-40.0,-40.0,-40.0,100.0,170.0,130.0,90.0,50.0
Corporate bond spreads,Sterling A corporate bond spread,Annual change,Basis points,Credit spread factor — GBP by rating,APT factor,shock (cumulative change vs jump-off),140.0,110.0,-60.0,-60.0,-60.0,140.0,250.0,190.0,130.0,70.0
Corporate bond spreads,Sterling BBB corporate bond spread,Annual change,Basis points,Credit spread factor — GBP by rating,APT factor,shock (cumulative change vs jump-off),180.0,150.0,-70.0,-70.0,-70.0,180.0,330.0,260.0,190.0,120.0
Corporate bond spreads,Sterling HY corporate bond spread,Annual change,Basis points,Credit spread factor — GBP by rating,APT factor,shock (cumulative change vs jump-off),390.0,400.0,-200.0,-200.0,-200.0,390.0,790.0,590.0,390.0,190.0
Corporate bond spreads,Sterling BB corporate bond spread,Annual change,Basis points,Credit spread factor — GBP by rating,APT factor,shock (cumulative change vs jump-off),370.0,310.0,-160.0,-160.0,-160.0,370.0,680.0,520.0,360.0,200.0
Corporate bond spreads,Sterling B corporate bond spread,Annual change,Basis points,Credit spread factor — GBP by rating,APT factor,shock (cumulative change vs jump-off),440.0,420.0,-210.0,-210.0,-210.0,440.0,860.0,650.0,440.0,230.0
Corporate bond spreads,Sterling CCC corporate bond spread,Annual change,Basis points,Credit spread factor — GBP by rating,APT factor,shock (cumulative change vs jump-off),380.0,380.0,-360.0,-360.0,-360.0,380.0,760.0,400.0,40.0,-320.0
Corporate bond spreads,US dollar IG corporate bond spread,Annual change,Basis points,Credit spread factor — USD by rating,APT factor,shock (cumulative change vs jump-off),130.0,110.0,-50.0,-50.0,-50.0,130.0,240.0,190.0,140.0,90.0
Corporate bond spreads,US dollar AAA corporate bond spread,Annual change,Basis points,Credit spread factor — USD by rating,APT factor,shock (cumulative change vs jump-off),50.0,40.0,-20.0,-20.0,-20.0,50.0,90.0,70.0,50.0,30.0
Corporate bond spreads,US dollar AA corporate bond spread,Annual change,Basis points,Credit spread factor — USD by rating,APT factor,shock (cumulative change vs jump-off),100.0,70.0,-40.0,-40.0,-40.0,100.0,170.0,130.0,90.0,50.0
Corporate bond spreads,US dollar A corporate bond spread,Annual change,Basis points,Credit spread factor — USD by rating,APT factor,shock (cumulative change vs jump-off),150.0,110.0,-60.0,-60.0,-60.0,150.0,260.0,200.0,140.0,80.0
Corporate bond spreads,US dollar BBB corporate bond spread,Annual change,Basis points,Credit spread factor — USD by rating,APT factor,shock (cumulative change vs jump-off),190.0,150.0,-70.0,-70.0,-70.0,190.0,340.0,270.0,200.0,130.0
Corporate bond spreads,US dollar HY corporate bond spread,Annual change,Basis points,Credit spread factor — USD by rating,APT factor,shock (cumulative change vs jump-off),490.0,400.0,-200.0,-200.0,-200.0,490.0,890.0,690.0,490.0,290.0
Corporate bond spreads,US dollar BB corporate bond spread,Annual change,Basis points,Credit spread factor — USD by rating,APT factor,shock (cumulative change vs jump-off),440.0,310.0,-160.0,-160.0,-160.0,440.0,750.0,590.0,430.0,270.0
Corporate bond spreads,US dollar B corporate bond spread,Annual change,Basis points,Credit spread factor — USD by rating,APT factor,shock (cumulative change vs jump-off),530.0,420.0,-210.0,-210.0,-210.0,530.0,950.0,740.0,530.0,320.0
Corporate bond spreads,US dollar CCC corporate bond spread,Annual change,Basis points,Credit spread factor — USD by rating,APT factor,shock (cumulative change vs jump-off),600.0,720.0,-360.0,-360.0,-360.0,600.0,1320.0,960.0,600.0,240.0
Sector revenues,UK average revenue - Aggregate,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.05,0.04,0.05,0.06,-0.05,-0.0975,-0.0614,-0.01447,0.044662
Sector revenues,UK average revenue - Consumer Discretionary,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.1,-0.11,0.11,0.1,0.08,-0.1,-0.199,-0.11089,-0.021979,0.056263
Sector revenues,UK average revenue - Consumer Staples,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.05,0.04,0.05,0.04,-0.05,-0.0975,-0.0614,-0.01447,0.024951
Sector revenues,UK average revenue - Energy,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),0.08,0.07,-0.02,-0.01,-0.02,0.08,0.1556,0.132488,0.121163,0.09874
Sector revenues,UK average revenue - Financial Services,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.1,-0.11,0.05,0.06,0.05,-0.1,-0.199,-0.15895,-0.108487,-0.063911
Sector revenues,UK average revenue - Health Care,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.05,0.04,0.05,0.04,-0.05,-0.0975,-0.0614,-0.01447,0.024951
Sector revenues,UK average revenue - Industrial,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.1,-0.11,0.11,0.1,0.08,-0.1,-0.199,-0.11089,-0.021979,0.056263
Sector revenues,UK average revenue - Materials,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.05,0.04,0.05,0.04,-0.05,-0.0975,-0.0614,-0.01447,0.024951
Sector revenues,UK average revenue - Real Estate,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.1,-0.11,0.11,0.1,0.08,-0.1,-0.199,-0.11089,-0.021979,0.056263
Sector revenues,UK average revenue - Technology,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.1,-0.11,0.05,0.06,0.05,-0.1,-0.199,-0.15895,-0.108487,-0.063911
Sector revenues,UK average revenue - Telecom,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.05,0.04,0.05,0.04,-0.05,-0.0975,-0.0614,-0.01447,0.024951
Sector revenues,UK average revenue - Utilities,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),0.02,0.03,-0.01,0.0,-0.01,0.02,0.0506,0.040094,0.040094,0.029693
Sector revenues,US average revenue - Aggregate,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.05,0.04,0.05,0.06,-0.05,-0.0975,-0.0614,-0.01447,0.044662
Sector revenues,US average revenue - Consumer Discretionary,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.1,-0.11,0.11,0.1,0.08,-0.1,-0.199,-0.11089,-0.021979,0.056263
Sector revenues,US average revenue - Consumer Staples,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.05,0.04,0.05,0.04,-0.05,-0.0975,-0.0614,-0.01447,0.024951
Sector revenues,US average revenue - Energy,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),0.15,0.13,-0.02,-0.03,-0.02,0.15,0.2995,0.27351,0.235305,0.210599
